"Player","Team","Number","Position","Height","Weight","Last Attended","Country","id"
"PatrickBeverley","LAL","21","G","6-1","180 lbs","Arkansas","USA","201976"
"SaddiqBey","DET","41","F","6-7","215 lbs","Villanova","USA","1630180"
"TylerBey","HOU","2","F","6-7","215 lbs","Colorado","USA","1630189"
"SimBhullar","SAC","32","C","7-5","360 lbs","New Mexico State","Canada","204021"
"AlBianchi","PHI","24","G","6-3","185 lbs","Bowling Green","USA","76160"
"HankBiasatti","HUS","","G","5-11","175 lbs","Assumption","Canada","76161"
"HenryBibby","PHI","10-15","G","6-1","185 lbs","UCLA","USA","76162"
"MikeBibby","SAC","20","G","6-2","195 lbs","Arizona","USA","1710"
"EdBiedenbach","PHX","12","G","6-1","175 lbs","North Carolina State","USA","76163"
"AndrisBiedrins","GSW","15","C","7-0","242 lbs","BK Skonto","Latvia","2740"
"DonBielke","DET","18","C","6-7","240 lbs","Valparaiso","USA","76164"
"BobBigelow","SAC","32","F","6-7","215 lbs","Pennsylvania","USA","76165"
"ChaunceyBillups","DET","1","G","6-3","210 lbs","Colorado","USA","1497"
"DaveBing","DET","21","G","6-3","180 lbs","Syracuse","USA","76166"
"JoeBinion","POR","50","F","6-8","235 lbs","North Carolina A&T","USA","76167"
